OBJECTID,ROADNAME,MAP_TYPE,MPWBIKEID,SHAPELEN
1104,BECKLEY CREEK PARK,5,1166,237.78489423689
1105,BECKLEY CREEK PARK,5,1167,641.654604515037
1106,BECKLEY CREEK PARK,5,1168,588.228029003884
1107,BECKLEY CREEK PARK,5,1169,1032.53797123173
1108,BECKLEY CREEK PARK,5,1170,225.363567695519
1109,BECKLEY CREEK PARK,5,1171,823.790253863939
1110,BECKLEY CREEK PARK,5,1172,2774.34382733052
1111,SENECA PARK,5,1173,3667.46963972303
1112,SENECA PARK,5,1174,710.841763510252
1113,SENECA PARK,5,1175,165.322946352886
1114,BOWMAN FIELD,5,1176,6025.51708511126
1115,SHAWNEE PARK,5,1177,701.595591942545
1116,SHAWNEE PARK,5,1178,90.9449117105131
1117,S 13TH ST,4,1179,255.826794180361
1118,S 13TH ST,4,1180,255.393474561181
1119,W MARKET ST,4,1181,212.043360932228
1120,W MARKET ST,4,1182,198.264913991011
1121,W MARKET ST,4,1183,380.743607941451
1122,W MARKET ST,4,1184,129.25777323061
1123,W MARKET ST,4,1185,287.44726165752
1124,W MARKET ST,4,1186,311.077622547227
1125,W MARKET ST,4,1187,482.279571415271
1126,W MARKET ST,4,1188,415.250495065682
1127,W MARKET ST,4,1189,1023.50062044247
1128,W MARKET ST,4,1190,428.679731032727
1129,W MARKET ST,4,1191,352.351687808109
1130,W MARKET ST,4,1192,648.717581375521
1131,W MARKET ST,4,1193,97.301674783486
1132,W MARKET ST,4,1194,792.816469567028
1133,W MARKET ST,4,1195,311.351829537452
1134,W MARKET ST,4,1196,365.683831928759
1135,W MARKET ST,4,1197,292.728320588245
1136,W MARKET ST,4,1198,203.576181083948
1137,W MARKET ST,4,1199,379.250375259928
1138,W MARKET ST,4,1200,276.888177103025
1139,W MARKET ST,4,1201,187.52198216105
1140,W MARKET ST,4,1202,479.923906491519
1141,W MARKET ST,4,1203,459.006609543909
1142,W MARKET ST,4,1204,483.048803011023
1143,W MARKET ST,4,1205,480.139948505294
1144,W MARKET ST,4,1206,474.814364073003
1145,W MARKET ST,4,1207,479.657448386166
1146,W MARKET ST,4,1208,480.257265076413
1147,S SPRING ST,4,1209,409.046572060391
1148,N SPRING ST,2,1210,411.973236222979
1149,S SPRING ST,4,1211,406.12986260803
1150,S SPRING ST,4,1212,96.445395323575
1151,CANE RUN RD,4,1213,353.862762064472
1152,W JEFFERSON ST,4,1214,479.275352751226
1153,W JEFFERSON ST,4,1215,479.759601229585
1154,W JEFFERSON ST,4,1216,455.082707431886
1155,W JEFFERSON ST,4,1217,476.363700921312
1156,W JEFFERSON ST,4,1218,480.582134611033
1157,W JEFFERSON ST,4,1219,478.263859916933
1158,COLORADO AVE,3,1220,35.615692151038
1159,WOODFIELD RD,3,1221,347.752957509562
1160,WOODFIELD RD,3,1222,1024.60383718813
1161,WESLEY AVE,3,1223,328.058244033444
1162,BLOWING TREE RD,3,1224,910.232628271238
1163,HURSTBOURNE LN,3,1225,967.653832459766
1164,BRISTOL AVE,3,1226,320.271883303827
1165,BLOWING TREE RD,3,1227,733.380110151241
1166,S 15TH ST,2,1228,1542.93325315582
1167,S 15TH ST,2,1229,439.027585878083
1168,S 7TH ST,2,1230,638.781104879385
1169,W BROADWAY,2,1231,122.464873436762
1170,ALGONQUIN PKY,2,1232,1273.74844650895
1171,W BROADWAY,2,1234,69.243162938533
1172,S JACKSON ST,2,1235,248.430585830653
1173,E MARKET ST,2,1236,583.648398621464
1174,E MARKET ST,2,1237,421.861297458196
1175,W BROADWAY,2,1238,224.160534621835
1176,S 7TH ST,2,1239,804.246111767741
1177,ALGONQUIN PKY,2,1240,2803.49509215143
1178,S 15TH ST,2,1241,1542.93325315582
1179,E MARKET ST,2,1242,588.851335473222
1180,CHAMBERLAIN LN,2,1243,403.700432294036
1181,S 7TH ST,2,1244,169.263267052457
1182,E MARKET ST,2,1245,585.426254886336
1183,S 7TH ST,2,1246,310.021878358933
